"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"Franceville","Franceville 2012-03-06","Gabon","Haut Ogooue","","-1.55","13.55","Peri-urban","Collect of rodents in peridomestic and agricultural zones","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2012-03-06","","","virginie.rougeron@gvfi.org","","Global Viral Forecasting Inc.","False","","free-ranging; contact with domestic animals or humans not likely","Research study","peri-domestic/in or near human dwelling(s)","","Active surveillance","N/A","","GVF-GA-12GB001","","","","","124366","GVF-GA-12GB001","","2012-03-06","","","CIRMF","Active surveillance","","Wild","Rodents","Rattus rattus","Rattus rattus","","","Actual","","Female","","","","","Apparently healthy","True","","","","","","","","","","Yes","","N/A","","Both","","","","","","","","","","","","","","N/A","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","543072","GVF-GA-12GB001-6","2012-03-06","Tissue ","Liver/Sleen (Frozen)","Frozen -80oC","","Excisional biopsy ","No","","Cryotube ","N/A","Freezer (-80C)","Freezer (-80C)","CIRMF","UMVE","CIRMF","","","","","","","","","4/30/2012 2:33:47 PM","5795","False"
"Franceville","Franceville 2012-03-06","Gabon","Haut Ogooue","","-1.55","13.55","Peri-urban","Collect of rodents in peridomestic and agricultural zones","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2012-03-06","","","virginie.rougeron@gvfi.org","","Global Viral Forecasting Inc.","False","","free-ranging; contact with domestic animals or humans not likely","Research study","peri-domestic/in or near human dwelling(s)","","Active surveillance","N/A","","GVF-GA-12GB001","","","","","124366","GVF-GA-12GB001","","2012-03-06","","","CIRMF","Active surveillance","","Wild","Rodents","Rattus rattus","Rattus rattus","","","Actual","","Female","","","","","Apparently healthy","True","","","","","","","","","","Yes","","N/A","","Both","","","","","","","","","","","","","","N/A","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","543201","GVF-GA-12GB001-9","2012-03-06","Tissue ","Brain (Frozen)","Frozen -80oC","","Excisional biopsy ","No","","Cryotube ","N/A","Freezer (-80C)","Freezer (-80C)","CIRMF","UMVE","CIRMF","","","","","","","","","4/30/2012 2:33:47 PM","5795","False"
"Franceville","Franceville 2012-03-06","Gabon","Haut Ogooue","","-1.55","13.55","Peri-urban","Collect of rodents in peridomestic and agricultural zones","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2012-03-06","","","virginie.rougeron@gvfi.org","","Global Viral Forecasting Inc.","False","","free-ranging; contact with domestic animals or humans not likely","Research study","peri-domestic/in or near human dwelling(s)","","Active surveillance","N/A","","GVF-GA-12GB001","","","","","124366","GVF-GA-12GB001","","2012-03-06","","","CIRMF","Active surveillance","","Wild","Rodents","Rattus rattus","Rattus rattus","","","Actual","","Female","","","","","Apparently healthy","True","","","","","","","","","","Yes","","N/A","","Both","","","","","","","","","","","","","","N/A","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","543325","GVF-GA-12GB001-7","2012-03-06","Tissue ","Heart/Lungs/Kidney (Frozen)","Frozen -80oC","","Excisional biopsy ","No","","Cryotube ","N/A","Freezer (-80C)","Freezer (-80C)","CIRMF","UMVE","CIRMF","","","","","","","","","4/30/2012 2:33:47 PM","5795","False"
"Franceville","Franceville 2012-03-06","Gabon","Haut Ogooue","","-1.55","13.55","Peri-urban","Collect of rodents in peridomestic and agricultural zones","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2012-03-06","","","virginie.rougeron@gvfi.org","","Global Viral Forecasting Inc.","False","","free-ranging; contact with domestic animals or humans not likely","Research study","peri-domestic/in or near human dwelling(s)","","Active surveillance","N/A","","GVF-GA-12GB001","","","","","124366","GVF-GA-12GB001","","2012-03-06","","","CIRMF","Active surveillance","","Wild","Rodents","Rattus rattus","Rattus rattus","","","Actual","","Female","","","","","Apparently healthy","True","","","","","","","","","","Yes","","N/A","","Both","","","","","","","","","","","","","","N/A","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","543380","GVF-GA-12GB001-4","2012-03-06","Tissue ","Feces (Frozen)","Frozen -80oC","","Excisional biopsy ","No","","Cryotube ","N/A","Freezer (-80C)","Freezer (-80C)","CIRMF","UMVE","CIRMF","","","","","","","","","4/30/2012 2:33:47 PM","5795","False"
"Franceville","Franceville 2012-03-06","Gabon","Haut Ogooue","","-1.55","13.55","Peri-urban","Collect of rodents in peridomestic and agricultural zones","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2012-03-06","","","virginie.rougeron@gvfi.org","","Global Viral Forecasting Inc.","False","","free-ranging; contact with domestic animals or humans not likely","Research study","peri-domestic/in or near human dwelling(s)","","Active surveillance","N/A","","GVF-GA-12GB001","","","","","124366","GVF-GA-12GB001","","2012-03-06","","","CIRMF","Active surveillance","","Wild","Rodents","Rattus rattus","Rattus rattus","","","Actual","","Female","","","","","Apparently healthy","True","","","","","","","","","","Yes","","N/A","","Both","","","","","","","","","","","","","","N/A","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","543431","GVF-GA-12GB001-10","2012-03-06","Tissue ","Intestine (Frozen)","Frozen -80oC","","Excisional biopsy ","No","","Cryotube ","N/A","Freezer (-80C)","Freezer (-80C)","CIRMF","UMVE","CIRMF","","","","","","","","","4/30/2012 2:33:47 PM","5795","False"
"Franceville","Franceville 2012-03-06","Gabon","Haut Ogooue","","-1.55","13.55","Peri-urban","Collect of rodents in peridomestic and agricultural zones","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2012-03-06","","","virginie.rougeron@gvfi.org","","Global Viral Forecasting Inc.","False","","free-ranging; contact with domestic animals or humans not likely","Research study","peri-domestic/in or near human dwelling(s)","","Active surveillance","N/A","","GVF-GA-12GB002","","","","","124367","GVF-GA-12GB002","","2012-03-06","","","CIRMF","Active surveillance","","Wild","Rodents","Rattus rattus","Rattus rattus","","","Actual","","Male","","","","","Apparently healthy","True","","","","","","","","","","Yes","","N/A","","Both","","","","","","","","","","","","","","N/A","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","543073","GVF-GA-12GB002-6","2012-03-06","Tissue ","Liver/Sleen (Frozen)","Frozen -80oC","","Excisional biopsy ","No","","Cryotube ","N/A","Freezer (-80C)","Freezer (-80C)","CIRMF","UMVE","CIRMF","","","","","","","","","4/30/2012 2:33:47 PM","5795","False"
"Franceville","Franceville 2012-03-06","Gabon","Haut Ogooue","","-1.55","13.55","Peri-urban","Collect of rodents in peridomestic and agricultural zones","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2012-03-06","","","virginie.rougeron@gvfi.org","","Global Viral Forecasting Inc.","False","","free-ranging; contact with domestic animals or humans not likely","Research study","peri-domestic/in or near human dwelling(s)","","Active surveillance","N/A","","GVF-GA-12GB002","","","","","124367","GVF-GA-12GB002","","2012-03-06","","","CIRMF","Active surveillance","","Wild","Rodents","Rattus rattus","Rattus rattus","","","Actual","","Male","","","","","Apparently healthy","True","","","","","","","","","","Yes","","N/A","","Both","","","","","","","","","","","","","","N/A","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","543202","GVF-GA-12GB002-9","2012-03-06","Tissue ","Brain (Frozen)","Frozen -80oC","","Excisional biopsy ","No","","Cryotube ","N/A","Freezer (-80C)","Freezer (-80C)","CIRMF","UMVE","CIRMF","","","","","","","","","4/30/2012 2:33:47 PM","5795","False"
"Franceville","Franceville 2012-03-06","Gabon","Haut Ogooue","","-1.55","13.55","Peri-urban","Collect of rodents in peridomestic and agricultural zones","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2012-03-06","","","virginie.rougeron@gvfi.org","","Global Viral Forecasting Inc.","False","","free-ranging; contact with domestic animals or humans not likely","Research study","peri-domestic/in or near human dwelling(s)","","Active surveillance","N/A","","GVF-GA-12GB002","","","","","124367","GVF-GA-12GB002","","2012-03-06","","","CIRMF","Active surveillance","","Wild","Rodents","Rattus rattus","Rattus rattus","","","Actual","","Male","","","","","Apparently healthy","True","","","","","","","","","","Yes","","N/A","","Both","","","","","","","","","","","","","","N/A","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","543326","GVF-GA-12GB002-7","2012-03-06","Tissue ","Heart/Lungs/Kidney (Frozen)","Frozen -80oC","","Excisional biopsy ","No","","Cryotube ","N/A","Freezer (-80C)","Freezer (-80C)","CIRMF","UMVE","CIRMF","","","","","","","","","4/30/2012 2:33:47 PM","5795","False"
"Franceville","Franceville 2012-03-06","Gabon","Haut Ogooue","","-1.55","13.55","Peri-urban","Collect of rodents in peridomestic and agricultural zones","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2012-03-06","","","virginie.rougeron@gvfi.org","","Global Viral Forecasting Inc.","False","","free-ranging; contact with domestic animals or humans not likely","Research study","peri-domestic/in or near human dwelling(s)","","Active surveillance","N/A","","GVF-GA-12GB002","","","","","124367","GVF-GA-12GB002","","2012-03-06","","","CIRMF","Active surveillance","","Wild","Rodents","Rattus rattus","Rattus rattus","","","Actual","","Male","","","","","Apparently healthy","True","","","","","","","","","","Yes","","N/A","","Both","","","","","","","","","","","","","","N/A","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","543381","GVF-GA-12GB002-4","2012-03-06","Tissue ","Feces (Frozen)","Frozen -80oC","","Excisional biopsy ","No","","Cryotube ","N/A","Freezer (-80C)","Freezer (-80C)","CIRMF","UMVE","CIRMF","","","","","","","","","4/30/2012 2:33:47 PM","5795","False"
"Franceville","Franceville 2012-03-06","Gabon","Haut Ogooue","","-1.55","13.55","Peri-urban","Collect of rodents in peridomestic and agricultural zones","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2012-03-06","","","virginie.rougeron@gvfi.org","","Global Viral Forecasting Inc.","False","","free-ranging; contact with domestic animals or humans not likely","Research study","peri-domestic/in or near human dwelling(s)","","Active surveillance","N/A","","GVF-GA-12GB002","","","","","124367","GVF-GA-12GB002","","2012-03-06","","","CIRMF","Active surveillance","","Wild","Rodents","Rattus rattus","Rattus rattus","","","Actual","","Male","","","","","Apparently healthy","True","","","","","","","","","","Yes","","N/A","","Both","","","","","","","","","","","","","","N/A","","","","FY3 Q2:  Jan 1 - Mar 31, 2012","","","543432","GVF-GA-12GB002-10","2012-03-06","Tissue ","Intestine (Frozen)","Frozen -80oC","","Excisional biopsy ","No","","Cryotube ","N/A","Freezer (-80C)","Freezer (-80C)","CIRMF","UMVE","CIRMF","","","","","","","","","4/30/2012 2:33:47 PM","5795","False"
