"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"CDP - CIRMF","CDP - CIRMF-2010-12-16","Gabon","Haut-Ogooué","","-1.617411","13.583498","","","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2010-12-16","00:00:00","","Mathieu Bougarel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","","","","10RD0469","","","","","9771","10RD0469","","2010-12-16","","","CIRMF","","","Wild","Rodents","Rattus norvegicus","Rattus norvegicus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","36814","10RD0469-10","2010-12-29","Tissue ","Intestine (no medium, frozen)","","","","","","","","","","","","","","","","","","","","","4/21/2011 12:49:52 PM","","False"
"CDP - CIRMF","CDP - CIRMF-2010-12-16","Gabon","Haut-Ogooué","","-1.617411","13.583498","","","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2010-12-16","00:00:00","","Mathieu Bougarel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","","","","10RD0469","","","","","9771","10RD0469","","2010-12-16","","","CIRMF","","","Wild","Rodents","Rattus norvegicus","Rattus norvegicus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","36815","10RD0469-6","2010-12-29","Tissue ","Liver/Spleen (no medium, frozen)","","","","","","","","","","","","","","","","","","","","","4/21/2011 12:49:52 PM","","False"
"CDP - CIRMF","CDP - CIRMF-2010-12-16","Gabon","Haut-Ogooué","","-1.617411","13.583498","","","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2010-12-16","00:00:00","","Mathieu Bougarel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","","","","10RD0469","","","","","9771","10RD0469","","2010-12-16","","","CIRMF","","","Wild","Rodents","Rattus norvegicus","Rattus norvegicus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","36846","10RD0469-7","2010-12-29","Tissue ","Heart/Lungs/Kidney (no medium, frozen)","","","","","","","","","","","","","","","","","","","","","4/21/2011 12:49:52 PM","","False"
"CDP - CIRMF","CDP - CIRMF-2010-12-16","Gabon","Haut-Ogooué","","-1.617411","13.583498","","","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2010-12-16","00:00:00","","Mathieu Bougarel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","","","","10RD0469","","","","","9771","10RD0469","","2010-12-16","","","CIRMF","","","Wild","Rodents","Rattus norvegicus","Rattus norvegicus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","36900","10RD0469-8","2010-12-29","Tissue ","Salivary glands (no medium, frozen)","","","","","","","","","","","","","","","","","","","","","4/21/2011 12:49:52 PM","","False"
"CDP - CIRMF","CDP - CIRMF-2010-12-16","Gabon","Haut-Ogooué","","-1.617411","13.583498","","","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2010-12-16","00:00:00","","Mathieu Bougarel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","","","","10RD0469","","","","","9771","10RD0469","","2010-12-16","","","CIRMF","","","Wild","Rodents","Rattus norvegicus","Rattus norvegicus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","36901","10RD0469-9","2010-12-29","Tissue ","Brain (no medium, frozen)","","","","","","","","","","","","","","","","","","","","","4/21/2011 12:49:52 PM","","False"
"CDP - CIRMF","CDP - CIRMF-2010-12-16","Gabon","Haut-Ogooué","","-1.617411","13.583498","","","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2010-12-16","00:00:00","","Mathieu Bougarel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","","","","10RD0471","","","","","9772","10RD0471","","2010-12-16","","","CIRMF","","","Wild","Rodents","Rattus norvegicus","Rattus norvegicus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","36902","10RD0471-10","2010-12-29","Tissue ","Intestine (no medium, frozen)","","","","","","","","","","","","","","","","","","","","","4/21/2011 12:49:52 PM","","False"
"CDP - CIRMF","CDP - CIRMF-2010-12-16","Gabon","Haut-Ogooué","","-1.617411","13.583498","","","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2010-12-16","00:00:00","","Mathieu Bougarel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","","","","10RD0471","","","","","9772","10RD0471","","2010-12-16","","","CIRMF","","","Wild","Rodents","Rattus norvegicus","Rattus norvegicus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","36903","10RD0471-6","2010-12-29","Tissue ","Liver/Spleen (no medium, frozen)","","","","","","","","","","","","","","","","","","","","","4/21/2011 12:49:52 PM","","False"
"CDP - CIRMF","CDP - CIRMF-2010-12-16","Gabon","Haut-Ogooué","","-1.617411","13.583498","","","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2010-12-16","00:00:00","","Mathieu Bougarel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","","","","10RD0471","","","","","9772","10RD0471","","2010-12-16","","","CIRMF","","","Wild","Rodents","Rattus norvegicus","Rattus norvegicus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","36904","10RD0471-7","2010-12-29","Tissue ","Heart/Lungs/Kidney (no medium, frozen)","","","","","","","","","","","","","","","","","","","","","4/21/2011 12:49:52 PM","","False"
"CDP - CIRMF","CDP - CIRMF-2010-12-16","Gabon","Haut-Ogooué","","-1.617411","13.583498","","","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2010-12-16","00:00:00","","Mathieu Bougarel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","","","","10RD0471","","","","","9772","10RD0471","","2010-12-16","","","CIRMF","","","Wild","Rodents","Rattus norvegicus","Rattus norvegicus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","36905","10RD0471-8","2010-12-29","Tissue ","Salivary glands (no medium, frozen)","","","","","","","","","","","","","","","","","","","","","4/21/2011 12:49:52 PM","","False"
"CDP - CIRMF","CDP - CIRMF-2010-12-16","Gabon","Haut-Ogooué","","-1.617411","13.583498","","","","established village or indigenous settlement","none of these","multiple domestic animal spp","","2010-12-16","00:00:00","","Mathieu Bougarel","","GVFI","False","","free-ranging; contact with domestic animals or humans not likely","","","","","","","10RD0471","","","","","9772","10RD0471","","2010-12-16","","","CIRMF","","","Wild","Rodents","Rattus norvegicus","Rattus norvegicus","","","Actual","","","","","","","Apparently healthy","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q1:  Oct 1 - Dec 31, 2010","","","36906","10RD0471-9","2010-12-29","Tissue ","Brain (no medium, frozen)","","","","","","","","","","","","","","","","","","","","","4/21/2011 12:49:52 PM","","False"
